_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
1,Transit,Infrastructure,Hamilton,Hamilton International Airport Cargo Centre,Complete,June 2017,"Construction of cross-dock cargo facility, together with all associated airside and groundside airport infrastructure ",New centre to support growing air cargo business at Hamilton Airport,Hamilton,Central,9300 Airport Rd,L0R 1W0,,"$8,000,000",Yes,Yes,Yes,,,43.16386,-79.925912
2,Transit,Infrastructure,Sioux Lookout,Municipal Airport Terminal Building Expansion and Renovation,Complete,March 2019,Includes functional upgrades as well as addressing safety-related deficiencies,Improved safety and efficiency,Kenora,Northwest,7 Airport Rd,P8T 1A5,,"$8,400,000",Yes,Yes,Yes,,,50.11512,-91.902234
3,Transit,Northern Development,Nipissing District,North Bay Jack Garland Airport Corporation - New Approach Light System and Runway,Complete,January 2022,Rehabilitate crosswind runway and install new LED approach lighting.,Alternate runway and approach lighting meet safety requirements that will keep airport open,Parry Sound,Northeast,50 Terminal St.,P1B 8G2,,"$5,000,000",,Yes,,,,46.3629286,-79.4244212
4,Transit,Northern Development,Northeastern Manitoulin and The Islands,Manitoulin East Municipal Airport Fuel System Revitalization,Complete,April 2024,"Replace current fuel tanks with two, new, above-ground tanks, and installation of a digital card-lock system that will enable the provision of fuel services 24 hours a day, seven days a week.","The replacement of old fuel tanks with new, above-ground tanks, and the installation of a digital card-lock system will enable the provision of fuel services 24 hours a day, seven days a week.",Manitoulin,Northeast,12917 Hwy 6,P0P 1W0,,"$246,694",Yes,Yes,,,,45.84267645,-81.85475387
5,Transit,Northern Development,Seguin,Parry Sound Area Municipal Airport - New Runway Extension and Business Park Expansion,Complete,December 2023,"Extend the runway at the Parry Sound Area Municipal Airport to 5,000 feet, realign the runway 3.6 degrees west, widen the runway to 100 feet, complete runway rehabilitation work, replace the current runway lighting system, and expand the number of airside lots in the business park.","The project will allow for a broader class of aircraft to use the runway and reduce lost traffic to other regional airports, improve safety, and provide opportunities for existing aviation and aerospace businesses to grow and attract new investment to the region.",Parry Sound,Northeast,97 Airport Road,P2A 2W8,,"$5,000,000",Yes,Yes,Yes,,,45.253381,-79.82754
6,Transit,Northern Development,Temagami,Temagami Train Station Upgrades,Complete,December 2017,Building infrastructure improvements,Accommodating business tenants on a year-round basis,Nipissing,Northeast,Highway 11 N,P0H 2H0,,"$109,100",Yes,Yes,Yes,,,46.967157,-79.787685
7,Transit,Transportation,Ajax,Ajax GO Station Pedestrian Bridge,Complete,October 2017,Building new pedestrian bridge ,"Fairall Street to connect the north and south parking lots, with a new Kiss ‘N’ Ride by south entrance to bridge",Durham,Central,100 Westney Rd S,L1S 7H3,,0,,,,,https://www.news.ontario.ca/mto/en/2017/10/ontario-improving-safety-and-convenience-for-commuters-at-ajax-go-station.html,43.84645,-79.042749
8,Transit,Transportation,Ajax,Westney Road Segment (Durham BRT),Complete,December 2018,New segment of Durham BRT bus lanes,"Connecting University of Toronto's Scarborough campus and downtown Oshawa, via wider intersections, expanded maintenance and storage facilities, intelligent transportation systems and modified signals",Durham,Central,,,Durham PULSE BRT Highway 2,0,,,,,https://www.durham.ca/en/index.aspx ,43.85761,-79.041807
9,Transit,Transportation,Ajax,Harwood Road Segment (Durham BRT),Complete,September 2014,New segment of Durham BRT bus lanes,"Connecting University of Toronto's Scarborough campus and downtown Oshawa, via wider intersections, expanded maintenance and storage facilities, intelligent transportation systems and modified signals",Durham,Central,,L1S 5J5,Durham PULSE BRT Highway 2,0,,,,,http://www.durhambrt.ca/,43.861203,-79.02592
10,Transit,Transportation,Ajax,Salem Road Segment (Durham BRT),Complete,August 2014,New segment of Durham BRT bus lanes,"Connecting University of Toronto’s Scarborough campus and downtown Oshawa, via wider intersections, expanded maintenance and storage facilities, intelligent transportation systems and modified signals",Durham,Central,,L1Z 1G1,Durham PULSE BRT Highway 2,0,,,,,http://www.durhambrt.ca/,43.863454,-79.01599
